t_step, px, py, pz, u, v, w, e0, e1, e2, e3, p, q, r
3870, 90.44995688, 0, -26.20765419, 7.648971816, 0, 43.38438504, 0.9854247044, 0, 0.1701121746, 0, 0, 0.09300585733, 0
3900, 91.1021371, 0, -25.0538638, 7.403069294, 0, 43.68090505, 0.9851864241, 0, 0.1714867626, 0, 0, 0.09300585736, 0
3930, 91.75358431, 0, -23.89103251, 7.155567911, 0, 43.9764593, 0.9849462264, 0, 0.1728610169, 0, 0, 0.09300585739, 0
3960, 92.4042991, 0, -22.71915828, 6.906471146, 0, 44.27104117, 0.9847041117, 0, 0.1742349348, 0, 0, 0.09300585741, 0
3990, 93.05428207, 0, -21.53823907, 6.655782506, 0, 44.56464406, 0.9844600804, 0, 0.1756085135, 0, 0, 0.09300585743, 0
4020, 93.70353383, 0, -20.34827283, 6.40350552, 0, 44.85726138, 0.9842141332, 0, 0.1769817505, 0, 0, 0.09300585745, 0
4050, 94.35205499, 0, -19.14925752, 6.149643742, 0, 45.14888657, 0.9839662704, 0, 0.178354643, 0, 0, 0.09300585746, 0
4080, 94.99984617, 0, -17.94119111, 5.89420075, 0, 45.43951304, 0.9837164926, 0, 0.1797271884, 0, 0, 0.09300585747, 0
4110, 95.64690798, 0, -16.72407155, 5.637180148, 0, 45.72913427, 0.9834648001, 0, 0.181099384, 0, 0, 0.09300585749, 0
4140, 96.29324106, 0, -15.49789682, 5.378585563, 0, 46.0177437, 0.9832111936, 0, 0.1824712271, 0, 0, 0.09300585749, 0
4170, 96.93884604, 0, -14.26266488, 5.118420645, 0, 46.3053348, 0.9829556735, 0, 0.1838427151, 0, 0, 0.0930058575, 0
4200, 97.58372355, 0, -13.01837369, 4.856689071, 0, 46.59190108, 0.9826982403, 0, 0.1852138453, 0, 0, 0.09300585751, 0
4230, 98.22787426, 0, -11.76502123, 4.593394539, 0, 46.87743601, 0.9824388945, 0, 0.186584615, 0, 0, 0.09300585752, 0
4260, 98.8712988, 0, -10.50260546, 4.328540773, 0, 47.16193312, 0.9821776366, 0, 0.1879550216, 0, 0, 0.09300585752, 0
4290, 99.51399783, 0, -9.231124373, 4.062131521, 0, 47.44538593, 0.9819144671, 0, 0.1893250623, 0, 0, 0.09300585752, 0
4320, 100.155972, 0, -7.950575931, 3.794170554, 0, 47.72778798, 0.9816493866, 0, 0.1906947346, 0, 0, 0.09300585753, 0
4350, 100.797222, 0, -6.660958113, 3.524661668, 0, 48.00913282, 0.9813823955, 0, 0.1920640357, 0, 0, 0.09300585753, 0
4380, 101.4377485, 0, -5.362268899, 3.253608682, 0, 48.289414, 0.9811134944, 0, 0.193432963, 0, 0, 0.09300585753, 0
4410, 102.0775522, 0, -4.054506271, 2.98101544, 0, 48.56862511, 0.9808426837, 0, 0.1948015139, 0, 0, 0.09300585754, 0
4440, 102.7166337, 0, -2.737668211, 2.706885808, 0, 48.84675974, 0.9805699641, 0, 0.1961696856, 0, 0, 0.09300585754, 0
4470, 103.3549938, 0, -1.411752704, 2.431223679, 0, 49.12381148, 0.980295336, 0, 0.1975374755, 0, 0, 0.09300585754, 0
4500, 103.9926332, 0, -0.07675773711, 2.154032965, 0, 49.39977395, 0.9800188, 0, 0.198904881, 0, 0, 0.09300585754, 0
