t_step, dpx, dpy, dpz, du, dv, dw, de0, de1, de2, de3, dp, dq, dr
3000, 22.46855576, 0, 29.59539214, -6.575296368, 0, 10.73318975, -0.006049700928, 0, 0.04610772823, 0, 0, 9.925821766e-08, 0
3030, 22.44362383, 0, 29.89472022, -6.631643971, 0, 10.70766808, -0.006114019521, 0, 0.04609924487, 0, 0, 8.510618153e-08, 0
3060, 22.41870604, 0, 30.19411789, -6.687900127, 0, 10.68191559, -0.006178326194, 0, 0.04609067159, 0, 0, 7.297191418e-08, 0
3090, 22.39380256, 0, 30.4935851, -6.744063987, 0, 10.65593257, -0.006242620824, 0, 0.04608200844, 0, 0, 6.256772619e-08, 0
3120, 22.3689136, 0, 30.79312181, -6.800134705, 0, 10.62971936, -0.006306903289, 0, 0.04607325546, 0, 0, 5.364694614e-08, 0
3150, 22.34403935, 0, 31.09272799, -6.856111434, 0, 10.60327626, -0.006371173466, 0, 0.04606441268, 0, 0, 4.5998073e-08, 0
3180, 22.31918, 0, 31.39240358, -6.911993331, 0, 10.5766036, -0.006435431231, 0, 0.04605548015, 0, 0, 3.943976084e-08, 0
3210, 22.29433575, 0, 31.69214856, -6.967779549, 0, 10.54970171, -0.006499676461, 0, 0.04604645788, 0, 0, 3.381651961e-08, 0
3240, 22.26950678, 0, 31.99196287, -7.023469246, 0, 10.5225709, -0.006563909032, 0, 0.04603734592, 0, 0, 2.899502847e-08, 0
3270, 22.2446933, 0, 32.29184648, -7.07906158, 0, 10.49521151, -0.00662812882, 0, 0.04602814429, 0, 0, 2.486097577e-08, 0
3300, 22.21989549, 0, 32.59179933, -7.134555709, 0, 10.46762388, -0.006692335701, 0, 0.04601885303, 0, 0, 2.131634813e-08, 0
3330, 22.19511355, 0, 32.8918214, -7.189950794, 0, 10.43980834, -0.006756529551, 0, 0.04600947214, 0, 0, 1.827710612e-08, 0
3360, 22.17034768, 0, 33.19191262, -7.245245994, 0, 10.41176522, -0.006820710247, 0, 0.04600000167, 0, 0, 1.567119322e-08, 0
3390, 22.14559805, 0, 33.49207296, -7.300440472, 0, 10.38349487, -0.006884877663, 0, 0.04599044164, 0, 0, 1.343682611e-08, 0
3420, 22.12086488, 0, 33.79230237, -7.355533391, 0, 10.35499764, -0.006949031675, 0, 0.04598079206, 0, 0, 1.152103076e-08, 0
3450, 22.09614835, 0, 34.09260081, -7.410523914, 0, 10.32627387, -0.00701317216, 0, 0.04597105297, 0, 0, 9.878385373e-09, 0
3480, 22.07144865, 0, 34.39296823, -7.465411208, 0, 10.29732391, -0.007077298992, 0, 0.04596122438, 0, 0, 8.469945205e-09, 0
3510, 22.04676597, 0, 34.69340457, -7.520194438, 0, 10.26814811, -0.007141412047, 0, 0.04595130632, 0, 0, 7.26231774e-09, 0
3540, 22.02210052, 0, 34.9939098, -7.574872771, 0, 10.23874683, -0.007205511201, 0, 0.04594129881, 0, 0, 6.226871221e-09, 0
3570, 21.99745247, 0, 35.29448387, -7.629445376, 0, 10.20912044, -0.00726959633, 0, 0.04593120187, 0, 0, 5.339056796e-09, 0
3600, 21.97282202, 0, 35.59512672, -7.683911424, 0, 10.17926928, -0.007333667308, 0, 0.04592101552, 0, 0, 4.577825047e-09, 0
3630, 21.94820937, 0, 35.8958383, -7.738270084, 0, 10.14919373, -0.007397724011, 0, 0.04591073979, 0, 0, 3.92512809e-09, 0
3660, 21.9236147, 0, 36.19661858, -7.792520529, 0, 10.11889415, -0.007461766316, 0, 0.0459003747, 0, 0, 3.36549135e-09, 0
3690, 21.89903821, 0, 36.49746749, -7.846661933, 0, 10.08837092, -0.007525794097, 0, 0.04588992026, 0, 0, 2.885646399e-09, 0
3720, 21.87448009, 0, 36.79838498, -7.900693469, 0, 10.0576244, -0.007589807229, 0, 0.0458793765, 0, 0, 2.474216914e-09, 0
3750, 21.84994053, 0, 37.09937101, -7.954614314, 0, 10.02665498, -0.007653805589, 0, 0.04586874344, 0, 0, 2.121448202e-09, 0
3780, 21.82541972, 0, 37.40042552, -8.008423645, 0, 9.995463024, -0.007717789052, 0, 0.04585802111, 0, 0, 1.818976413e-09, 0
3810, 21.80091785, 0, 37.70154846, -8.062120639, 0, 9.964048924, -0.007781757494, 0, 0.04584720952, 0, 0, 1.559630619e-09, 0
3840, 21.77643511, 0, 38.00273978, -8.115704476, 0, 9.932413062, -0.007845710789, 0, 0.04583630869, 0, 0, 1.337261427e-09, 0
